                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.82422,                0.45987,                 1.1137,                0.98861,                0.99125,                0.99079,                0.84234,                0.68178,                0.24738,                 1.0357,                0.00307,                0.00307,                0.00307
                     58,                0.82252,                0.45153,                 1.1135,                0.98958,                0.99196,                0.99065,                0.84414,                0.68047,                0.24708,                 1.0376,              0.0029462,              0.0029462,              0.0029462
                     59,                0.82188,                0.45111,                 1.1134,                0.99025,                0.99063,                 0.9906,                0.84325,                0.68276,                0.24696,                 1.0392,              0.0028225,              0.0028225,              0.0028225
                     60,                0.81997,                0.44889,                 1.1066,                0.98945,                0.99126,                0.99084,                0.84293,                0.68032,                 0.2453,                 1.0334,              0.0026987,              0.0026987,              0.0026987
                     61,                 0.8133,                0.44443,                 1.1056,                0.99036,                0.99102,                0.99078,                 0.8441,                 0.6785,                0.24422,                  1.035,               0.002575,               0.002575,               0.002575
                     62,                0.81171,                 0.4434,                 1.1034,                0.99168,                0.99109,                0.99096,                0.84514,                0.67726,                 0.2438,                 1.0332,              0.0024513,              0.0024513,              0.0024513
                     63,                0.80492,                0.43693,                  1.099,                0.98999,                0.99062,                0.99118,                0.84512,                0.67702,                0.24378,                 1.0316,              0.0023275,              0.0023275,              0.0023275
                     64,                0.80223,                0.43166,                 1.1001,                 0.9897,                 0.9909,                0.99079,                  0.846,                0.67692,                0.24188,                 1.0316,              0.0022038,              0.0022038,              0.0022038
                     65,                0.80217,                0.43163,                 1.0983,                0.98874,                0.99174,                0.99074,                0.84577,                0.67586,                0.24108,                 1.0322,                0.00208,                0.00208,                0.00208
                     66,                0.79653,                0.42634,                 1.0961,                0.98932,                0.99165,                0.99124,                 0.8468,                0.67542,                0.24012,                 1.0323,              0.0019563,              0.0019563,              0.0019563
                     67,                0.79197,                 0.4247,                 1.0983,                0.98999,                0.99132,                0.99109,                0.84719,                0.67372,                0.23856,                 1.0314,              0.0018325,              0.0018325,              0.0018325
                     68,                0.79169,                0.41884,                  1.094,                 0.9903,                0.99142,                0.99076,                0.84688,                0.67411,                 0.2385,                 1.0322,              0.0017087,              0.0017087,              0.0017087
                     69,                0.78844,                0.41682,                 1.0907,                0.98938,                0.99171,                0.99064,                0.84721,                0.67416,                0.23842,                 1.0327,               0.001585,               0.001585,               0.001585
                     70,                 0.6895,                0.27739,                 1.0298,                0.98974,                0.99222,                0.99045,                0.84757,                0.67341,                 0.2383,                  1.033,              0.0014612,              0.0014612,              0.0014612
                     71,                0.68295,                0.27195,                 1.0313,                0.98989,                0.99229,                0.99056,                0.84803,                0.67147,                0.23667,                 1.0332,              0.0013375,              0.0013375,              0.0013375
                     72,                0.67461,                0.26868,                 1.0205,                0.98986,                0.99219,                0.99066,                0.84888,                0.67051,                0.23613,                 1.0297,              0.0012138,              0.0012138,              0.0012138
                     73,                0.66434,                0.26272,                 1.0106,                0.98999,                0.99185,                0.99079,                 0.8508,                0.66904,                0.23542,                 1.0266,                0.00109,                0.00109,                0.00109
                     74,                0.66664,                0.26154,                 1.0131,                0.99011,                 0.9931,                0.99087,                0.85135,                0.66811,                0.23544,                  1.026,             0.00096625,             0.00096625,             0.00096625
                     75,                0.65757,                0.25697,                 1.0106,                0.99036,                0.99274,                0.99091,                0.85258,                0.66709,                0.23458,                  1.026,              0.0008425,              0.0008425,              0.0008425
                     76,                0.65516,                0.25338,                 1.0114,                0.99025,                0.99294,                0.99095,                0.85344,                0.66699,                0.23416,                 1.0266,             0.00071875,             0.00071875,             0.00071875
                     77,                0.65092,                0.25207,                 1.0088,                0.98987,                0.99315,                0.99082,                0.85377,                0.66645,                 0.2338,                 1.0281,               0.000595,               0.000595,               0.000595
                     78,                0.64069,                0.24738,                 0.9981,                0.98994,                0.99313,                 0.9906,                0.85367,                0.66573,                0.23306,                 1.0272,             0.00047125,             0.00047125,             0.00047125
                     79,                0.63876,                0.24468,                 1.0008,                0.99006,                 0.9931,                0.99078,                0.85397,                0.66547,                0.23305,                 1.0263,              0.0003475,              0.0003475,              0.0003475
